"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID"
"11760085_s_at","11760085_s_at",-0.768489912010587,6.3709618460985,-4.93517959663384,9.74145815774766e-07,0.000827889578468444,5.30642810737078,"HNRNPA1","3178"
"11758587_x_at","11758587_x_at",-0.641938218805048,9.31582350666958,-4.9184826388784,1.05834610285392e-06,0.000833495423455189,5.23070411911515,"RPL5","6125"
"11755747_a_at","11755747_a_at",1.1178663873119,9.10419555046509,4.91483729755294,1.07764081274021e-06,0.000833495423455189,5.21420380276566,"PLAC8","51316"
"11744369_s_at","11744369_s_at",-0.684491038979536,4.40367189471322,-4.91106389810616,1.0979704128805e-06,0.000833495423455189,5.19713593552643,"NCRNA00219","114915"
"11718841_s_at","11718841_s_at",-1.76194146580361,3.8426241045212,-4.90777031331593,1.11601675622905e-06,0.000833495423455189,5.18224842548131,"IL8","3576"
"11725981_at","11725981_at",-1.38048401081192,6.47263931428678,-4.86967049967818,1.34670049564257e-06,0.000905691187064168,5.01071316686442,"CCR7","1236"
"11718690_a_at","11718690_a_at",0.420631182359686,5.36650416958354,4.86793169745652,1.35825672820386e-06,0.000905691187064168,5.00291458963822,"ACOT8","10005"
"11717497_at","11717497_at",-0.666650559991306,5.03798936984414,-4.86712948455318,1.36362046042026e-06,0.000905691187064168,4.99931752418261,"SLC25A36","55186"
"11755309_x_at","11755309_x_at",-0.812347382980924,9.59464166512843,-4.85687554032764,1.43400345075858e-06,0.000905691187064168,4.95338863853703,"GLTSCR2","29997"
"11720604_x_at","11720604_x_at",1.07262778963344,9.04133222618204,4.85313073784814,1.46056997575384e-06,0.000905691187064168,4.93663782565022,"STOM","2040"
"11755748_s_at","11755748_s_at",1.1232361503902,10.3510444329601,4.85223059116354,1.46702616108438e-06,0.000905691187064168,4.93261320506294,"PLAC8","51316"
"11758264_s_at","11758264_s_at",-0.706164505845694,5.08754226909227,-4.85182836344192,1.46991996602153e-06,0.000905691187064168,4.93081504281765,"HNRNPA0","10949"
"11751139_x_at","11751139_x_at",-0.490619290320513,3.30225519271945,-4.83549750277085,1.59216850536435e-06,0.000948391911866357,4.85792615453378,"ZNF101","94039"
"11740531_a_at","11740531_a_at",-0.757185426312944,3.15516106976683,-4.83132018272577,1.62497793604709e-06,0.000948391911866357,4.83931880049163,"CLEC10A","10462"
"11728256_x_at","11728256_x_at",-0.785124503061818,8.64658606320698,-4.82710134299901,1.65877384293249e-06,0.000948391911866357,4.82054185277049,"GLTSCR2","29997"
"11737145_s_at","11737145_s_at",-1.07242357083478,3.67507840798254,-4.82289478900101,1.69314469374826e-06,0.000948391911866357,4.80183494722506,"SH3YL1","26751"
"11743354_a_at","11743354_a_at",-0.787541799984447,7.02945105577057,-4.81391911100598,1.76879051836758e-06,0.000968746913681942,4.76197063383358,"PDCD4","27250"
"11726439_a_at","11726439_a_at",-0.549283819654704,2.99390398066708,-4.80199706249566,1.87431342030711e-06,0.000987549158087238,4.70912844120176,"MALT1","10892"
"11725712_s_at","11725712_s_at",-0.674576419349907,4.96575191666334,-4.79566360097343,1.93280994734927e-06,0.000987549158087238,4.68110674569376,"PPIA","5478"
"11721983_a_at","11721983_a_at",-0.738838695176595,2.90644845162219,-4.79465032823664,1.9423302136958e-06,0.000987549158087238,4.67662686343992,"PID1","55022"
"11726359_a_at","11726359_a_at",-0.35829975139267,7.74760958660723,-4.7924248970786,1.96339806647223e-06,0.000987549158087238,4.66679091321326,"MLL5","55904"
"11719391_a_at","11719391_a_at",-1.05124596774976,3.73444742140399,-4.77177442038139,2.16967257965213e-06,0.00103997511660897,4.57572510003053,"PRKDC","5591"
"11742995_at","11742995_at",0.487265752071091,7.81480420259352,4.75913613930836,2.30603630328554e-06,0.00103997511660897,4.5201746988639,"RAB10","10890"
"11747310_a_at","11747310_a_at",-0.342287770359272,2.73729328869077,-4.75767888426944,2.32227981290328e-06,0.00103997511660897,4.51377839299992,"WBP11","51729"
"11745021_a_at","11745021_a_at",-1.04715551036244,5.92609613360224,-4.75736118194176,2.3258357140252e-06,0.00103997511660897,4.51238415238498,"MYC","4609"
"11755250_x_at","11755250_x_at",-0.673617158996979,9.58268758795885,-4.75692745432285,2.33069869179638e-06,0.00103997511660897,4.51048087496964,"RPL13A","23521"
"11747964_a_at","11747964_a_at",-0.618794596744798,2.654250419298,-4.75473367426139,2.35544569899213e-06,0.00103997511660897,4.50085666528547,"SLC4A7","9497"
"11757933_s_at","11757933_s_at",-0.646947903053435,8.14532418666334,-4.75238166718884,2.38225829641226e-06,0.00103997511660897,4.49054295347752,"BTG2","7832"
"11747590_a_at","11747590_a_at",-0.957054036481245,3.92701079747132,-4.74978159699944,2.41224041574923e-06,0.00103997511660897,4.47914706437846,"FAIM3","9214"
"11717873_x_at","11717873_x_at",-0.785927004650341,6.01224418238903,-4.74471973481352,2.47165451273984e-06,0.00103997511660897,4.45697820725482,"IRF8","3394"
